name,unit
A.D. Fiber,%
Arginine,%
Avail. Phos.,%
Biotin,mg/kg
Calcium,%
Chlorine,%
Choline,mg/g
Cobalt,mg/kg
Concentrate,kg/kg
Copper,mg/kg
Crude Fiber,%
Crude Protein,%
Cystine,%
D.I. Protein,%
Digest. Energy,kcal/kg
Dry Matter Fed,%
Ether extract,%
Fish Protein,%
Folic Acid,mg/kg
Forage,kg/kg
Gly + Ser,%
Glycine,%
Hay Activity,%
Histidine,%
Iodine,mg/kg
Iron,mg/g
Isoleucine,%
Leucine,%
Linoleic Acid,%
Lysine,%
Magnesium,%
Manganese,mg/kg
Menadione,mg/kg
Met + Cys,%
Metab. Energy,kcal/g
Methionine,%
N.E. Lactation,Mcal/kg
NE-g,Mcal/kg
NE-m,Mcal/kg
Niacin,mg/kg
Pantothenic Acd,mg/kg
Phe + Tyr,%
Phenylalanine,%
Phosphorous,%
Potassium,%
Protein,%
Pyridoxine,mg/kg
Riboflavin,mg/kg
Selenium,mg/kg
Serine,%
Silage Activity,%
Sodium,%
Sulfur,%
Thiamin,mg/kg
Threonine,%
Total Phos.,%
Tryptophan,%
Tyrosine,%
U.I. Protein,%
Valine,%
Vitamin A,kIU/kg
Vitamin B-12,ug/kg
Vitamin D,kIU/kg
Vitamin E,mg/kg
Zinc,mg/kg
